record_id,Timestamp,Location,Latitude,Longitude,Day_of_Week,Hour_of_Day,Incident_Congestion,Weather_Condition,Road_Condition,Vehicle_Type,Vehicle_Damage,Accident_Severity,Accident_Reason,Driver_Violation,Number_of_Deaths,Number_of_Injuries,Summary_Road_Name,Daily_Traffic_Volume,Daily_Average_Speed,Daily_Congestion_Level,Daily_Incident_Reports,Daily_Public_Transport_Usage,Daily_Parking_Usage,Day_of_Week_Name,Time_of_Day,Day_of_Week_Num,Month,Is_Weekend
1,2023-05-18 07:14:00,Koramangala,12.881397,77.589126,Thursday,7,Light,Cloudy,Dry,Car,Minor,Minor,Speeding,Jumping Signal,0,2,Sony World Junction,34279,21.12,50.11,0,55.85,69.97,Thursday,Morning,3,5,0
2,2023-04-13 09:42:00,Koramangala,13.061034,77.544824,Thursday,9,Very Heavy,Foggy,Dry,Auto Rickshaw,Moderate,Minor,Drunk Driving,No Helmet,0,1,80 Feet Road,53943,10.23,92.63,1,44.54,97.74,Thursday,Morning,3,4,0
3,2023-03-22 20:43:00,Koramangala,12.821928,77.55362,Wednesday,20,Very Heavy,Clear,Under Construction,Motorcycle,Moderate,Minor,Speeding,Overspeeding,0,2,Sony World Junction,59637,8.97,92.02,0,81.59,65.38,Wednesday,Evening,2,3,0
4,2023-11-25 13:25:00,Koramangala,12.865019,77.616958,Saturday,13,Light,Raining,Under Construction,Bicycle,Unknown,No Injury,Drunk Driving,No Helmet,0,0,Sony World Junction,35701,19.85,55.25,0,36.13,56.46,Saturday,Afternoon,5,11,1
5,2023-09-13 14:10:00,Koramangala,12.921332,77.520816,Wednesday,14,Moderate,Raining,Wet,Motorcycle,Moderate,Serious,Drunk Driving,Jumping Signal,0,2,Sony World Junction,52354,5.45,90.38,2,78.18,91.96,Wednesday,Afternoon,2,9,0
6,2023-02-19 08:52:00,Koramangala,12.936155,77.617431,Sunday,8,Heavy,Overcast,Under Construction,Bus,Unknown,No Injury,Ignoring Signal,Jumping Signal,0,0,80 Feet Road,59114,5.56,92.87,0,63.86,91.5,Sunday,Morning,6,2,1
7,2023-07-17 13:10:00,Indiranagar,12.937927,77.473359,Monday,13,Light,Raining,Wet,Car,Severe,Serious,Ignoring Signal,Jumping Signal,0,3,100 Feet Road,29142,29.25,42.93,1,57.55,58.74,Monday,Afternoon,0,7,0
8,2023-08-15 16:39:00,Jayanagar,12.849028,77.495482,Tuesday,16,Light,Haze,Potholes,Truck,Moderate,Minor,Drunk Driving,Jumping Signal,0,1,4th Block Complex,40708,17.7,61.96,0,82.68,99.0,Tuesday,Afternoon,1,8,0
9,2023-03-19 06:00:00,HSR Layout,12.938204,77.743851,Sunday,6,Light,Foggy,Under Construction,Motorcycle,Unknown,No Injury,Speeding,Unknown,0,0,Outer Ring Road,59665,11.89,95.89,0,33.58,92.31,Sunday,Morning,6,3,1
10,2023-11-28 23:57:00,Koramangala,13.034923,77.741797,Tuesday,23,Moderate,Cloudy,Wet,Motorcycle,Severe,Serious,Drunk Driving,Unknown,0,3,80 Feet Road,59871,11.5,96.21,0,51.54,69.79,Tuesday,Night,1,11,0
