record_id,Timestamp,Location,Latitude,Longitude,Day_of_Week,Hour_of_Day,Incident_Congestion,Weather_Condition,Road_Condition,Vehicle_Type,Vehicle_Damage,Accident_Severity,Accident_Reason,Driver_Violation,Number_of_Deaths,Number_of_Injuries,Summary_Road_Name,Daily_Traffic_Volume,Daily_Average_Speed,Daily_Congestion_Level,Daily_Incident_Reports,Daily_Public_Transport_Usage,Daily_Parking_Usage
1,5/18/2023 7:14,Koramangala,12.881397,77.589126,Thursday,7,Light,Cloudy,Dry,Car,Minor,Minor,Speeding,Jumping Signal,0,2,Sony World Junction,34279,21.12,50.11,0,55.85,69.97
2,4/13/2023 9:42,Koramangala,13.061034,77.544824,Thursday,9,Very Heavy,Foggy,Dry,Auto Rickshaw,Moderate,Minor,Drunk Driving,No Helmet,0,1,80 Feet Road,53943,10.23,92.63,1,44.54,97.74
3,3/22/2023 20:43,Koramangala,12.821928,77.55362,Wednesday,20,Very Heavy,Clear,Under Construction,Motorcycle,Moderate,Minor,Speeding,Overspeeding,0,2,Sony World Junction,59637,8.97,92.02,0,81.59,65.38
4,11/25/2023 13:25,Koramangala,12.865019,77.616958,Saturday,13,Light,Raining,Under Construction,Bicycle,None,No Injury,Drunk Driving,No Helmet,0,0,Sony World Junction,35701,19.85,55.25,0,36.13,56.46
5,9/13/2023 14:10,Koramangala,12.921332,77.520816,Wednesday,14,Moderate,Raining,Wet,Motorcycle,Moderate,Serious,Drunk Driving,Jumping Signal,0,2,Sony World Junction,52354,5.45,90.38,2,78.18,91.96
6,2/19/2023 8:52,Koramangala,12.936155,77.617431,Sunday,8,Heavy,Overcast,Under Construction,Bus,None,No Injury,Ignoring Signal,Jumping Signal,0,0,80 Feet Road,59114,5.56,92.87,0,63.86,91.5
7,7/17/2023 13:10,Indiranagar,12.937927,77.473359,Monday,13,Light,Raining,Wet,Car,Severe,Serious,Ignoring Signal,Jumping Signal,0,3,100 Feet Road,29142,29.25,42.93,1,57.55,58.74
8,8/15/2023 16:39,Jayanagar,12.849028,77.495482,Tuesday,16,Light,Haze,Potholes,Truck,Moderate,Minor,Drunk Driving,Jumping Signal,0,1,4th Block Complex,40708,17.7,61.96,0,82.68,99
9,3/19/2023 6:00,HSR Layout,12.938204,77.743851,Sunday,6,Light,Foggy,Under Construction,Motorcycle,None,No Injury,Speeding,None,0,0,Outer Ring Road,59665,11.89,95.89,0,33.58,92.31
10,11/28/2023 23:57,Koramangala,13.034923,77.741797,Tuesday,23,Moderate,Cloudy,Wet,Motorcycle,Severe,Serious,Drunk Driving,None,0,3,80 Feet Road,59871,11.5,96.21,0,51.54,69.79
11,7/5/2023 2:57,HSR Layout,12.840917,77.491445,Wednesday,2,Light,Overcast,Under Construction,Motorcycle,Moderate,Minor,Distracted Driving,Overspeeding,0,1,27th Main Road,46512,17.75,69.72,0,30.86,86.92
12,6/10/2023 8:42,Whitefield,13.115888,77.494663,Saturday,8,Very Heavy,Clear,Wet,Car,Moderate,Minor,Ignoring Signal,No Helmet,0,1,Marathahalli Bridge,42680,15.07,64.83,0,53.42,61.58
13,6/5/2023 6:53,HSR Layout,12.877163,77.622357,Monday,6,Moderate,Raining,Potholes,Bicycle,Minor,Minor,Ignoring Signal,Jumping Signal,0,1,27th Main Road,31497,29.58,45.3,0,36.03,67.39
14,2/10/2023 15:28,Koramangala,12.875095,77.470919,Friday,15,Light,Overcast,Wet,Truck,Moderate,Minor,Drunk Driving,Overspeeding,0,1,80 Feet Road,45302,19.15,68.97,0,44.98,96.01
15,9/12/2023 22:07,Koramangala,13.013993,77.649978,Tuesday,22,Moderate,Cloudy,Wet,Bicycle,Minor,Minor,Drunk Driving,No Helmet,0,1,80 Feet Road,27281,36.62,48.02,0,57.8,51.35
16,11/10/2023 19:47,Indiranagar,13.069357,77.580315,Friday,19,Very Heavy,Haze,Wet,Motorcycle,Minor,Minor,Ignoring Signal,No Helmet,0,1,100 Feet Road,30530,33.89,43.1,0,74.77,89.65
17,6/9/2023 4:38,Jayanagar,12.968265,77.512236,Friday,4,Light,Overcast,Dry,Bicycle,None,No Injury,Distracted Driving,No Helmet,0,0,4th Block Complex,51019,5.15,80.84,1,42.97,58.05
18,6/21/2023 9:55,Indiranagar,12.977859,77.713266,Wednesday,9,Very Heavy,Foggy,Dry,Bus,Minor,Minor,Drunk Driving,Jumping Signal,0,2,100 Feet Road,13558,46.38,30,0,66.11,96.06
19,11/8/2023 13:50,Indiranagar,12.949058,77.474809,Wednesday,13,Light,Cloudy,Under Construction,Bicycle,Severe,Serious,Ignoring Signal,Jumping Signal,0,1,CMH Road,9343,49.71,30,0,45.42,58.52
20,11/6/2023 10:33,Indiranagar,12.906943,77.589608,Monday,10,Very Heavy,Haze,Wet,Car,Moderate,Serious,Distracted Driving,Overspeeding,0,2,100 Feet Road,14906,45.55,30,0,32.63,95.66
21,3/10/2023 0:29,Koramangala,12.996245,77.694533,Friday,0,Light,Clear,Wet,Bus,Severe,Fatal,Ignoring Signal,Overspeeding,1,2,Sony World Junction,44392,10.81,64.1,0,80.25,89.91
22,2/8/2023 6:36,Indiranagar,12.921808,77.640821,Wednesday,6,Moderate,Cloudy,Dry,Motorcycle,Moderate,Serious,Distracted Driving,Overspeeding,0,2,100 Feet Road,33506,27.08,46.56,0,60.12,74.68
23,6/24/2023 15:07,Koramangala,12.982557,77.671078,Saturday,15,Light,Overcast,Dry,Motorcycle,Minor,Minor,Ignoring Signal,No Helmet,0,1,Sony World Junction,59269,8.21,90.4,0,79.34,59.84
24,7/23/2023 0:17,Jayanagar,12.903544,77.587714,Sunday,0,Light,Overcast,Under Construction,Car,Minor,Minor,Drunk Driving,None,0,1,South End Circle,6342,56.66,30,0,51.68,89.99
25,12/14/2023 23:05,Whitefield,12.897052,77.541897,Thursday,23,Moderate,Foggy,Wet,Car,Moderate,Minor,Drunk Driving,None,0,2,Marathahalli Bridge,5950,50.5,30,0,62.83,85.5
26,7/23/2023 23:23,HSR Layout,12.949386,77.64375,Sunday,23,Moderate,Clear,Potholes,Auto Rickshaw,Severe,Fatal,Drunk Driving,No Helmet,1,1,Outer Ring Road,37660,24.15,60.28,0,55.05,74.43
27,12/12/2023 14:17,Whitefield,12.890344,77.458638,Tuesday,14,Light,Clear,Wet,Bicycle,Minor,Minor,Drunk Driving,None,0,2,Marathahalli Bridge,9917,49.54,30,1,63.39,80.42
28,2/7/2023 17:36,Indiranagar,13.076915,77.572176,Tuesday,17,Very Heavy,Haze,Potholes,Auto Rickshaw,Moderate,Minor,Drunk Driving,None,0,1,100 Feet Road,37716,24.38,59.19,0,41.65,61.53
29,11/16/2023 0:26,HSR Layout,12.821833,77.481569,Thursday,0,Light,Overcast,Wet,Motorcycle,Severe,Serious,Ignoring Signal,None,0,2,27th Main Road,58356,6.88,87.31,1,31.38,90.77
30,6/12/2023 7:18,Jayanagar,12.936403,77.600462,Monday,7,Moderate,Foggy,Dry,Truck,Minor,Minor,Distracted Driving,Jumping Signal,0,2,4th Block Complex,5759,51.85,30,4,77.46,50.38
31,7/29/2023 10:07,Whitefield,12.989098,77.547861,Saturday,10,Heavy,Raining,Dry,Truck,Minor,Minor,Speeding,None,0,1,ITPL Main Road,45217,13.07,69.41,0,76.53,89.59
32,10/13/2023 23:43,Koramangala,12.889718,77.538637,Friday,23,Moderate,Raining,Dry,Auto Rickshaw,Moderate,Minor,Distracted Driving,None,0,2,80 Feet Road,25446,32.45,33.93,0,66.55,59.54
33,11/5/2023 8:43,Koramangala,12.908403,77.650687,Sunday,8,Very Heavy,Cloudy,Under Construction,Bus,Moderate,Minor,Drunk Driving,Jumping Signal,0,1,Sony World Junction,23928,40.79,42.34,0,32.73,70.55
34,5/30/2023 4:02,Jayanagar,12.931784,77.641403,Tuesday,4,Moderate,Raining,Wet,Auto Rickshaw,Minor,Minor,Speeding,Overspeeding,0,1,4th Block Complex,53039,14.73,86.15,0,36.51,74.89
